Provinsi/Kabupaten/Kota,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun)
,2020
ACEH,9492
Simeulue,7085
Aceh Singkil,8707
Aceh Selatan,8089
Aceh Tenggara,8020
Aceh Timur,8489
Aceh Tengah,10673
Aceh Barat,9516
Aceh Besar,9641
Pidie,9816
Bireuen,8857
Aceh Utara,8122
Aceh Barat Daya,8316
Gayo Lues,8791
Aceh Tamiang,8327
Nagan Raya,8216
Aceh Jaya,9615
Bener Meriah,11098
Pidie Jaya,10071
Kota Banda Aceh,16778
Kota Sabang,11273
Kota Langsa,12057
Kota Lhokseumawe,11367
Kota Subulussalam,7317
SUMATERA UTARA,10420
Nias,6898
Mandailing Natal,9684
Tapanuli Selatan,11236
Tapanuli Tengah,10071
Tapanuli Utara,11648
Toba Samosir / Toba,12154
Labuhan Batu,11150
Asahan,10890
Simalungun,11308
Dairi,10350
Karo,12349
Deli Serdang,12225
Langkat,11071
Nias Selatan,6974
Humbang Hasundutan,7850
Pakpak Bharat,8170
Samosir,8422
Serdang Bedagai,10950
Batu Bara,10410
Padang Lawas Utara,9987
Padang Lawas,8807
Labuhan Batu Selatan,11495
Labuhan Batu Utara,11779
Nias Utara,6064
Nias Barat,5830
Kota Sibolga,11473
Kota Tanjung Balai,11132
Kota Pematang Siantar,12372
Kota Tebing Tinggi,12876
Kota Medan,14890
Kota Binjai,10997
Kota Padangsidimpuan,10856
Kota Gunungsitoli,7980
SUMATERA BARAT,10733
Kepulauan Mentawai,6281
Pesisir Selatan,9212
Solok,10171
Sijunjung,10361
Tanah Datar,10588
Padang Pariaman,10998
Agam,9651
Lima Puluh Kota,9596
Pasaman,8425
Solok Selatan,10325
Dharmasraya,11273
Pasaman Barat,9047
Kota Padang,14481
Kota Solok,12117
Kota Sawah Lunto,10182
Kota Padang Panjang,10734
Kota Bukittinggi,13282
Kota Payakumbuh,13281
Kota Pariaman,12796
RIAU,10675
Kuantan Singingi,10243
Indragiri Hulu,10202
Indragiri Hilir,9954
Pelalawan,11606
Siak,11799
Kampar,10796
Rokan Hulu,9374
Bengkalis,11331
Rokan Hilir,9362
Kepulauan Meranti,7790
Kota Pekanbaru,14433
Kota Dumai,11751
JAMBI,10392
Kerinci,9995
Merangin,10279
Sarolangun,11616
Batang Hari,9825
Muaro Jambi,8556
Tanjung Jabung Timur,9026
Tanjung Jabung Barat,9480
Tebo,10389
Bungo,11471
Kota Jambi,12056
Kota Sungai Penuh,10248
SUMATERA SELATAN,10652
Ogan Komering Ulu,10020
Ogan Komering Ilir,10725
Muara Enim,10951
Lahat,9730
Musi Rawas,9520
Musi Banyuasin,10088
Banyu Asin,9850
Ogan Komering Ulu Selatan,8580
Ogan Komering Ulu Timur,11505
Ogan Ilir,10424
Empat Lawang,9350
Penukal Abab Lematang Ilir,8196
Musi Rawas Utara,9783
Kota Palembang,14679
Kota Prabumulih,12723
Kota Pagar Alam,8795
Kota Lubuklinggau,13243
BENGKULU,10380
Bengkulu Selatan,9837
Rejang Lebong,10234
Bengkulu Utara,10263
Kaur,8593
Seluma,8220
Mukomuko,10266
Lebong,11124
Kepahiang,9273
Bengkulu Tengah,9392
Kota Bengkulu,13938
LAMPUNG,9982
Lampung Barat,9929
Tanggamus,9250
Lampung Selatan,9875
Lampung Timur,9983
Lampung Tengah,11219
Lampung Utara,8733
Way Kanan,9102
Tulangbawang,10683
Pesawaran,7892
Pringsewu,10262
Mesuji,7894
Tulang Bawang Barat,8395
Pesisir Barat,8457
Kota Bandar Lampung,12197
Kota Metro,11906
KEP. BANGKA BELITUNG,12794
Bangka,12416
Belitung,13554
Bangka Barat,12233
Bangka Tengah,12909
Bangka Selatan,11757
Belitung Timur,11730
Kota Pangkal Pinang,15663
KEPULAUAN RIAU,14209
Karimun,11885
Bintan,14482
Natuna,14705
Lingga,11998
Kepulauan Anambas,11875
Kota Batam,18095
Kota Tanjung Pinang,15498
DKI JAKARTA,18227
Kep. Seribu,12412
Kota Jakarta Selatan,23575
Kota Jakarta Timur,17438
Kota Jakarta Pusat,17179
Kota Jakarta Barat,20468
Kota Jakarta Utara,18437
JAWA BARAT,10845
Bogor,10317
Sukabumi,8823
Cianjur,7980
Bandung,10201
Garut,7876
Tasikmalaya,7852
Ciamis,9288
Kuningan,9459
Cirebon,10342
Majalengka,9521
Sumedang,10217
Indramayu,9859
Subang,10790
Purwakarta,11614
Karawang,11315
Bekasi,11241
Bandung Barat,8455
Pangandaran,9084
Kota Bogor,11564
Kota Sukabumi,10999
Kota Bandung,16887
Kota Cirebon,11800
Kota Bekasi,15776
Kota Depok,15281
Kota Cimahi,12025
Kota Tasikmalaya,10263
Kota Banjar,10535
JAWA TENGAH,10930
Cilacap,10440
Banyumas,11448
Purbalingga,9914
Banjarnegara,9263
Kebumen,8901
Purworejo,10163
Wonosobo,10621
Magelang,9301
Boyolali,12910
Klaten,11921
Sukoharjo,11325
Wonogiri,9286
Karanganyar,11428
Sragen,12589
Grobogan,10221
Blora,9571
Rembang,10328
Pati,10390
Kudus,11160
Jepara,10343
Demak,10128
Semarang,11966
Temanggung,9343
Kendal,11425
Batang,9431
Pekalongan,10312
Pemalang,8461
Tegal,9612
Brebes,10058
Kota Magelang,12210
Kota Surakarta,14761
Kota Salatiga,15699
Kota Semarang,15243
Kota Pekalongan,12467
Kota Tegal,12999
D I YOGYAKARTA,14015
Kulon Progo,10041
Bantul,15517
Gunung Kidul,9486
Sleman,15926
Kota Yogyakarta,18678
JAWA TIMUR,11601
Pacitan,8796
Ponorogo,9670
Trenggalek,9630
Tulungagung,10705
Blitar,10654
Kediri,11000
Malang,10028
Lumajang,9088
Jember,9294
Banyuwangi,12140
Bondowoso,10610
Situbondo,9857
Probolinggo,10859
Pasuruan,10164
Sidoarjo,14458
Mojokerto,12779
Jombang,11261
Nganjuk,12130
Madiun,11574
Magetan,11776
Ngawi,11418
Bojonegoro,10121
Tuban,10238
Lamongan,11456
Gresik,13246
Bangkalan,8610
Sampang,8739
Pamekasan,8739
Sumenep,8888
Kota Kediri,12239
Kota Blitar,13733
Kota Malang,16593
Kota Probolinggo,12180
Kota Pasuruan,13281
Kota Mojokerto,13499
Kota Madiun,16018
Kota Surabaya,17755
Kota Batu,12824
BANTEN,11964
Pandeglang,8572
Lebak,8690
Tangerang,12203
Serang,10665
Kota Tangerang,14484
Kota Cilegon,13010
Kota Serang,13212
Kota Tangerang Selatan,15667
BALI,13929
Jembrana,11790
Tabanan,14494
Badung,17503
Gianyar,14544
Klungkung,11376
Bangli,11268
Karangasem,10237
Buleleng,13463
Kota Denpasar,19723
NUSA TENGGARA BARAT,10351
Lombok Barat,11304
Lombok Tengah,9952
Lombok Timur,9409
Sumbawa,9146
Dompu,8889
Bima,8468
Sumbawa Barat,11536
Lombok Utara,9006
Kota Mataram,14968
Kota Bima,11105
NUSA TENGGARA TIMUR,7598
Sumba Barat,7321
Sumba Timur,9406
Kupang,7526
Timor Tengah Selatan,6861
Timor Tengah Utara,6364
Belu,7479
Alor,6786
Lembata,7305
Flores Timur,7631
Sikka,8081
Ende,9094
Ngada,8865
Manggarai,7203
Rote Ndao,6539
Manggarai Barat,7468
Sumba Tengah,6108
Sumba Barat Daya,6372
Nagekeo,8309
Manggarai Timur,5818
Sabu Raijua,5265
Malaka,5901
Kota Kupang,13337
KALIMANTAN BARAT,8930
Sambas,9858
Bengkayang,9102
Landak,7357
Mempawah,7801
Sanggau,8245
Ketapang,9163
Sintang,8728
Kapuas Hulu,7162
Sekadau,7434
Melawi,8332
Kayong Utara,7842
Kubu Raya,8709
Kota Pontianak,14465
Kota Singkawang,11650
KALIMANTAN TENGAH,11154
Kotawaringin Barat,13109
Kotawaringin Timur,11854
Kapuas,11015
Barito Selatan,11486
Barito Utara,9936
Sukamara,8674
Lamandau,11190
Seruyan,9370
Katingan,10548
Pulang Pisau,10047
Gunung Mas,10793
Barito Timur,11319
Murung Raya,10419
Kota Palangka Raya,14055
KALIMANTAN SELATAN,12032
Tanah Laut,11207
Kotabaru,11530
Banjar,12603
Barito Kuala,9805
Tapin,11841
Hulu Sungai Selatan,12672
Hulu Sungai Tengah,12153
Hulu Sungai Utara,9527
Tabalong,11283
Tanah Bumbu,11718
Balangan,11452
Kota Banjarmasin,14306
Kota Banjar Baru,13675
KALIMANTAN TIMUR,11728
Paser,10344
Kutai Barat,9712
Kutai Kartanegara,10720
Kutai Timur,10485
Berau,12018
Penajam Paser Utara,11231
Mahakam Ulu,7524
Kota Balikpapan,14549
Kota Samarinda,14135
Kota Bontang,16278
KALIMANTAN UTARA,8756
Malinau,9611
Bulungan,9121
Tana Tidung,7381
Nunukan,6804
Kota Tarakan,10894
SULAWESI UTARA,10791
Bolaang Mongondow,10128
Minahasa,12395
Kepulauan Sangihe,11427
Kepulauan Talaud,8505
Minahasa Selatan,11481
Minahasa Utara,11405
Bolaang Mongondow Utara,9062
Siau Tagulandang Biaro,8080
Minahasa Tenggara,10408
Bolaang Mongondow Selatan,8837
Bolaang Mongondow Timur,8998
Kota Manado,13886
Kota Bitung,12193
Kota Tomohon,11745
Kota Kotamobagu,10744
SULAWESI TENGAH,9335
Banggai Kepulauan,7429
Banggai,9554
Morowali,10993
Poso,8808
Donggala,7960
Toli-Toli,7917
Buol,7942
Parigi Moutong,9641
Tojo Una-Una,7606
Sigi,8126
Banggai Laut,7663
Morowali Utara,8853
Kota Palu,14839
SULAWESI SELATAN,11079
Kepulauan Selayar,8970
Bulukumba,10513
Bantaeng,11632
Jeneponto,9114
Takalar,10454
Gowa,9394
Sinjai,9439
Maros,10963
Pangkajene dan Kepulauan,11405
Barru,10923
Bone,8963
Soppeng,9483
Wajo,12386
Sidenreng Rappang,12073
Pinrang,11844
Enrekang,10844
Luwu,10014
Tana Toraja,7217
Luwu Utara,11562
Luwu Timur,12814
Toraja Utara,8097
Kota Makasar,16873
Kota Parepare,13663
Kota Palopo,12995
SULAWESI TENGGARA,9331
Buton,7307
Muna,8203
Konawe,10126
Kolaka,12515
Konawe Selatan,9037
Bombana,8234
Wakatobi,9204
Kolaka Utara,10218
Buton Utara,7470
Konawe Utara,9165
Kolaka Timur,7727
Konawe Kepulauan,6700
Muna Barat,7485
Buton Tengah,7221
Buton Selatan,7263
Kota Kendari,14335
Kota Baubau,10483
GORONTALO,10020
Boalemo,8789
Gorontalo,9277
Pohuwato,10255
Bone Bolango,10052
Gorontalo Utara,8921
Kota Gorontalo,12278
SULAWESI BARAT,9168
Majene,10056
Polewali Mandar,8580
Mamasa,7747
Mamuju,9500
Mamuju Utara / Pasangkayu,11111
Mamuju Tengah,8414
MALUKU,8732
Maluku Tenggara Barat / Kepulauan Tanimbar,6297
Maluku Tenggara,7545
Maluku Tengah,10210
Buru,10316
Kepulauan Aru,7586
Seram Bagian Barat,8690
Seram Bagian Timur,9453
Maluku Barat Daya,6890
Buru Selatan,7566
Kota Ambon,14116
Kota Tual,7351
MALUKU UTARA,8032
Halmahera Barat,7352
Halmahera Tengah,7841
Kepulauan Sula,6950
Halmahera Selatan,7068
Halmahera Utara,7414
Halmahera Timur,7876
Pulau Morotai,6290
Pulau Taliabu,6390
Kota Ternate,13091
Kota Tidore Kepulauan,8188
PAPUA BARAT,8086
Fakfak,7599
Kaimana,8325
Teluk Wondama,8219
Teluk Bintuni,9974
Manokwari,12207
Sorong Selatan,6286
Sorong,7495
Raja Ampat,8014
Tambrauw,4998
Maybrat,5336
Manokwari Selatan,5505
Pegunungan Arfak,5099
Kota Sorong,13954
PAPUA BARAT DAYA,-
Raja Ampat,-
Sorong,-
Sorong Selatan,-
Maybrat,-
Tambrauw,-
Kota Sorong,-
PAPUA,6954
Merauke,10097
Jayawijaya,7441
Jayapura,9898
Nabire,8840
Kepulauan Yapen,7484
Biak Numfor,9705
Paniai,6361
Puncak Jaya,5282
Mimika,11431
Boven Digoel,7947
Mappi,6353
Asmat,5733
Yahukimo,4875
Pegunungan Bintang,5409
Tolikara,4826
Sarmi,6600
Keerom,8910
Waropen,6732
Supiori,5677
Mamberamo Raya,4581
Nduga,3975
Lanny Jaya,4350
Mamberamo Tengah,4462
Yalimo,4647
Puncak,5378
Dogiyai,5373
Intan Jaya,5283
Deiyai,4632
Kota Jayapura,14763
PAPUA SELATAN,-
Merauke,-
Boven Digoel,-
Mappi,-
Asmat,-
PAPUA TENGAH,-
Mimika,-
Dogiyai,-
Deiyai,-
Nabire,-
Paniai,-
Intan Jaya,-
Puncak,-
Puncak Jaya,-
PAPUA PEGUNUNGAN,-
Nduga,-
Jayawijaya,-
Lanny Jaya,-
Tolikara,-
Mamberamo Tengah,-
Yalimo,-
Yahukimo,-
Pegunungan Bintang,-
INDONESIA,11013
